code,name,url
Praksis i arbeidslivet,AHKR201,https://www.uib.no/emne/AHKR201
Offentleg politikk,AORG322A,https://www.uib.no/emne/AORG322A
Quantitative Methods,AORG321B,https://www.uib.no/emne/AORG321B
Kvantitativ metode,AORG321A,https://www.uib.no/emne/AORG321A
Leadership in Organizational and Cultural Contexts,AORG328,https://www.uib.no/emne/AORG328
Politisk organisering og flernivåstyring,AORG326,https://www.uib.no/emne/AORG326
"Kunnskap, politikk og styring",AORG327,https://www.uib.no/emne/AORG327
Skjøn og paternalisme,AORG325,https://www.uib.no/emne/AORG325
Kvalitativ metode,AORG323A,https://www.uib.no/emne/AORG323A
Public Policy,AORG322B,https://www.uib.no/emne/AORG322B
Qualitative Methods,AORG323B,https://www.uib.no/emne/AORG323B
Organization Theory,AORG320B,https://www.uib.no/emne/AORG320B
Organisasjonsteori,AORG320A,https://www.uib.no/emne/AORG320A
Bacheloroppgåve i administrasjon og organisasjonsvitskap,AORG250,https://www.uib.no/emne/AORG250
Bacehloroppgåve i administrasjon og organisasjonsvitskap,AORG251,https://www.uib.no/emne/AORG251
Organisasjons- og institusjonsanalyse for offentleg sektor,AORG215,https://www.uib.no/emne/AORG215
Semester assessement - MA design,KMD-DES-317,https://www.uib.no/emne/KMD-DES-317
Blow-up!,KMD-MAD-303,https://www.uib.no/emne/KMD-MAD-303
Daily Art,KMD-NYE-210,https://www.uib.no/emne/KMD-NYE-210
BA 1 Making Matters,KMD-TEK-107,https://www.uib.no/emne/KMD-TEK-107
Nyare teoriar om kjønn og seksualitet,KVIK201,https://www.uib.no/emne/KVIK201
Koptisk,KOP101,https://www.uib.no/emne/KOP101
Parameterestimering og inverse problem,MAT265,https://www.uib.no/emne/MAT265
Kognitiv nevrovitskap,MAPSYK319B,https://www.uib.no/emne/MAPSYK319B
Medier: Institusjonar og bransjeforståing,MEVI101,https://www.uib.no/emne/MEVI101
Femte semester medisinstudiet,MED5,https://www.uib.no/emne/MED5
Musikkteori folkemusikk 1,MOB106,https://www.uib.no/emne/MOB106
Konsertframføring II,MUV311,https://www.uib.no/emne/MUV311
